A-TOOLS MESH DATA V1.0
Feature-Path: :/features/features/
Screenshot-Path: :/screenshots/screenshots/
N-Samples: 1048576
N-Bins: 256
N-Vox: 32
N-Test-Angles: 8
N-Test-Steps: 256
Ini-Step: -10
End-Step: 10
N-Models: 495
N-Info: 8
----Info----
OFRENDA
NO_ELEMENT
ENTRADA
INVENTARIO
UBICACION
FUNCION
MATERIA PRIMA
DESCRIPCION
----Data----
0000_10_162931,????,????,900,10-162931,S7-V7,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,CABEZA DE XIPE TOTEC
0000_10_253039,????,????,????,10-253159,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0000_10_253159,????,????,????,10-253039,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,????
0006_0015_0001,6,015_0001,4,10-162940,S1-V5,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,DIOS DEL PULQUE
0006_0020_0001,6,020_0001,36,10-162964,S2-V9,VASO CON REPRESENTACION DE MICTLANTECUTLI,PIEDRA VERDE,????
0006_0035_0001,6,035_0001,819,10-251260,OF6-P15,BRASERO,PIEDRA VOLCANICA,????
0006_0036_0001,6,036_0001,9,10-252004,OF06_P-06,MASCARA,PIEDRA VERDE,????
0006_0037_0001,6,037_0001,????,????,????,????,????,????
0006_0039_0001,6,039_0001,8,10-251999,0F06_P05,MASCARA,PIEDRA VERDE,????
0006_0043_0001,6,043_0001,152,10-252151,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0006_0054_0001,6,054_0001,34,10-252013,S5-V4,FIGURA REPRESENTACION TLALOC,PIEDRA VOLCANICA,????
0006_0057_0001,6,057_0001,7,10-168799,S5-V3,MASCARA,PIEDRA VERDE,TLALOC
0006_0062_0001,6,062_0001,61,10-252017,OF6-P17,CONTENEDOR FITOMORFO,PIEDRA VERDE,????
0006_0063_0001,6,063_0001,58,10-162937,OF6-P05,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0006_0071_0001,6,071_0001,60,10-250238,OF6-P14,FIGURA ANTROPOMORFA,PIEDRA NEGRA PULIDA,REVISAR MODELO
0006_0078_0001,6,078_0001,1,10-252014,OF6-P12,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0006_0133_0001,6,133_0001,177,10-252021,OF6-P05,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0007_0018_0001,7,018_0001,127,10-169981,S5-V4,OLLA TLALOC,BARRO,????
0007_0018_0001_0002,7,018_0001,127,10-169981,S5-V4,OLLA TLALOC,BARRO,????
0007_0018_0002,7,018_0002,127,10-169981 2/2,S5-V4,TAPA DE OLLA TLALOC,BARRO,????
0008_0358_0001,8,358_0001,967,10-253038,S5-V4,OLLA TLALOC,BARRO,????
0009_0003_0001,9,003_0001,828,10-251492,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0009_0006_0001,9,006_0001,405,10-265159,OF9-P01,FIGURA ZOOMORFA,PIEDRA VERDE,REPRESENTA UN CAPARAZON DE TORTUGA
0009_0012_0001,9,012_0001,1084,10-265938,OF9-P01,FIGURA  REPRESENTACION DE FLAUTA,PIEDRA VERDE,????
0009_0014_0001,9,014_0001,347,10-251493,OF9-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0009_0020_0001,9,020_0001,351,10-251399,OF9-P01,FIGURA  REPRESENTACION DE FLAUTA,PIEDRA VERDE,????
0009_0023_0001,9,023_0001,416,10-251497,OF9-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0009_0023_0002,9,023_0002,418,10-251496,OF9-P01,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
000H_0011_0001,000H,011_0001,5921,10-252689 1/2,S5-V3,OLLA TLALOC,BARRO,????
000H_0011_0002,000H,011_0002,5921,10-252689 2/2,S5-V3,TAPA ESPIRAL,BARRO,TAPA OLLA TLALOC
000H_0073_0001,000H,073_0001,6097,10-253041,S5-V3,TAPA ESPIRAL,BARRO,TAPA OLLA TLALOC
000H_0961_0001,000H,961_0001,84,10-252709,S5-V3,FIGURA ZOOMORFA,BARRO,CETRO
000H_0962_0001,000H,962_0001,84,10-252710,S5-V3,FIGURA ZOOMORFA,BARRO,CETRO
0011_0003_0001,11,003_0001,244,10-251570,S3-V8,MASCARA,PIEDRA VERDE,????
0011_0039_0001,11,039_0001,487,10-168796,OF11_P02,MASCARA,PIEDRA VERDE,????
0011_0041_0001,11,041_0001,490,10-220309,S2V14,MASCARA,PIEDRA VERDE,????
0011_0042_0001,11,042_0001,492,10-252153,S3-V13,MASCARA,PIEDRA VERDE,????
0011_0048_0001,11,048_0001,503,10-251545,OF11-B01,CUNA DEFORMATORIA,BARRO,????
0011_0049_0001,11,049_0001,505,10-251566,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0011_0050_0001,11,050_0001,506,10-220330,S3-V10,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0011_0051_0001,11,051_0001,507,10-220311,OF11-P04,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0011_0056_0001,11,056_0001,514,10-220329,S3-V11,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0011_0065_0001,11,065_0001,560,10-162936,OF11-P16,FIGURA ANTROPOMORFA,PIEDRA VERDE,REPRESENTACION DE TLALOC
0011_0066_0001,11,066_0001,561,10-220312,OF11-P11,FIGURA ANTROPOMORFA,PIEDRA BLANCA,REPRESENTACION DE EHECATL
0011_0068_0001,11,068_0001,563,10-168828,S4-V3,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0011_0069_0001,11,069_0001,564,10-220313,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0011_0080_0001,11,080_0001,586,10-220046,S2-V16,BRASERO,PIEDRA VOLCANICA,????
0011_0084_0001,11,084_0001,1016,10-252694,OF11-B01,CAJETE MINIATURA,BARRO,????
0011_0097_0001,11,097_0001,615,10-251501,OF11-P06,LANZADARDOS,HUESO,????
0011_0102_0001,11,102_0001,620,10-251538,OF11-P07,OREJERA,PIEDRA VERDE,????
0011_0116_0001,11,116_0001,686,10-251539,OF11-P06,OREJERA,PIEDRA VERDE,????
0011_0161_0001,11,161_0001,840,10-162935,S5-V3,FIGURA ANTROPOMORFA,PIEDRA BLANCA,TLALOC
0012_0001_0001,12,001_0001,829,10-220044,S2-V16,BRASERO,PIEDRA VOLCANICA,????
0012_0002_0001,12,002_0001,1916,10-263348,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0012_0003_0001,12,003_0001,830,10-252154,OF12-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0012_0004_0001,12,004_0001,1917,10-251489,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0012_0006_0001,12,006_0001,1918,10-252033,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0013_0021_0001,13,001_0001,????,????,????,????,????,????
0013_0037_0001,13,037_0001,1694,10-220050,OF13-P17,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0013_0038_0001,13,038_0001,1695,10-220308,S5-V4,OLLA TLALOC,PIEDRA VOLCANICA,????
0013_0038_0001_0002,13,038_0001,1695,10-220308,S5-V4,OLLA TLALOC,PIEDRA VOLCANICA,????
